# Login Events Log
# Format: timestamp,username,status,ip_address

2024-01-15T08:00:01,alice,SUCCESS,192.168.1.10
2024-01-15T08:15:22,bob,SUCCESS,192.168.1.11
2024-01-15T08:30:00,charlie,FAILED,192.168.1.12
2024-01-15T08:30:05,charlie,FAILED,192.168.1.12
2024-01-15T08:30:10,charlie,SUCCESS,192.168.1.12
2024-01-15T09:00:00,admin,FAILED,45.33.32.156
2024-01-15T09:00:02,admin,FAILED,45.33.32.156
2024-01-15T09:00:04,admin,FAILED,45.33.32.156
2024-01-15T09:00:06,admin,FAILED,45.33.32.156
2024-01-15T09:00:08,admin,FAILED,45.33.32.156
2024-01-15T09:00:10,admin,FAILED,45.33.32.156
2024-01-15T09:15:00,david,SUCCESS,192.168.1.13
2024-01-15T09:30:00,eve,FAILED,192.168.1.14
2024-01-15T09:30:15,eve,SUCCESS,192.168.1.14
2024-01-15T10:00:00,root,FAILED,185.143.223.47
2024-01-15T10:00:02,root,FAILED,185.143.223.47
2024-01-15T10:00:04,administrator,FAILED,185.143.223.47
2024-01-15T10:00:06,administrator,FAILED,185.143.223.47
2024-01-15T10:00:08,admin,FAILED,185.143.223.47
2024-01-15T10:00:10,admin,FAILED,185.143.223.47
2024-01-15T10:00:12,admin,FAILED,185.143.223.47
2024-01-15T10:00:14,admin,FAILED,185.143.223.47
2024-01-15T10:30:00,frank,SUCCESS,192.168.1.15
2024-01-15T11:00:00,grace,FAILED,192.168.1.16
2024-01-15T11:00:30,grace,SUCCESS,192.168.1.16
2024-01-15T11:30:00,test,FAILED,91.234.99.102
2024-01-15T11:30:02,test,FAILED,91.234.99.102
2024-01-15T11:30:04,guest,FAILED,91.234.99.102
2024-01-15T11:30:06,guest,FAILED,91.234.99.102
2024-01-15T12:00:00,henry,SUCCESS,192.168.1.17
